phrase,category,d_speeches,r_speeches,total,percent_of_d_speeches,percent_of_r_speeches,chi2,pval
seniors,NA,8,3,11,34.78,11.11,3.163372859,0.075307444
eager,NA,8,3,11,34.78,11.11,3.163372859,0.075307444
working hard,NA,8,3,11,34.78,11.11,3.163372859,0.075307444
assistance,NA,12,6,18,52.17,22.22,3.095008052,0.078532764
plans,NA,12,6,18,52.17,22.22,3.095008052,0.078532764
washington,NA,18,11,29,78.26,40.74,3.014548281,0.082520443
successful,NA,5,14,19,21.74,51.85,2.963725739,0.085151523
population,NA,5,14,19,21.74,51.85,2.963725739,0.085151523
income tax,economy/fiscal issues,5,14,19,21.74,51.85,2.963725739,0.085151523
men women,NA,5,14,19,21.74,51.85,2.963725739,0.085151523
make sure,NA,19,12,31,82.61,44.44,2.91771856,0.087611655
basic,NA,13,7,20,56.52,25.93,2.906602254,0.088217549
allowing,NA,4,12,16,17.39,44.44,2.84057971,0.091911049
responders,NA,4,12,16,17.39,44.44,2.84057971,0.091911049
commission,NA,4,12,16,17.39,44.44,2.84057971,0.091911049
regulations,NA,4,12,16,17.39,44.44,2.84057971,0.091911049
14,NA,4,12,16,17.39,44.44,2.84057971,0.091911049
duty,NA,4,12,16,17.39,44.44,2.84057971,0.091911049
nearly billion,NA,1,6,7,4.35,22.22,2.83436853,0.092267065
expand access,NA,1,6,7,4.35,22.22,2.83436853,0.092267065
members house senate,NA,1,6,7,4.35,22.22,2.83436853,0.092267065
best possible,NA,1,6,7,4.35,22.22,2.83436853,0.092267065
fellow citizens,NA,1,6,7,4.35,22.22,2.83436853,0.092267065
high demand,economy/fiscal issues,1,6,7,4.35,22.22,2.83436853,0.092267065
old,NA,20,13,33,86.96,48.15,2.834187283,0.092277476
background,NA,9,4,13,39.13,14.81,2.824352781,0.092844313
democracy,NA,9,4,13,39.13,14.81,2.824352781,0.092844313
practices,NA,9,4,13,39.13,14.81,2.824352781,0.092844313
permanent,NA,9,4,13,39.13,14.81,2.824352781,0.092844313
adult,NA,9,4,13,39.13,14.81,2.824352781,0.092844313
people state,NA,14,8,22,60.87,29.63,2.75479432,0.096963285
succeed,NA,14,8,22,60.87,29.63,2.75479432,0.096963285
prisons,crime/justice,3,10,13,13.04,37.04,2.750030967,0.097252545
scholarships,education,3,10,13,13.04,37.04,2.750030967,0.097252545
300,NA,3,10,13,13.04,37.04,2.750030967,0.097252545
add,NA,3,10,13,13.04,37.04,2.750030967,0.097252545
appreciate,NA,3,10,13,13.04,37.04,2.750030967,0.097252545
sacrifice,NA,3,10,13,13.04,37.04,2.750030967,0.097252545
public safety,crime/justice,7,17,24,30.43,62.96,2.737788513,0.098000306
competitive,economy/fiscal issues,7,17,24,30.43,62.96,2.737788513,0.098000306
look forward,NA,7,17,24,30.43,62.96,2.737788513,0.098000306
given,NA,7,17,24,30.43,62.96,2.737788513,0.098000306
collaboration,NA,2,8,10,8.7,29.63,2.721417069,0.09901008
school district,education,2,8,10,8.7,29.63,2.721417069,0.09901008
improved,NA,2,8,10,8.7,29.63,2.721417069,0.09901008
targeted,NA,2,8,10,8.7,29.63,2.721417069,0.09901008
regulatory,NA,2,8,10,8.7,29.63,2.721417069,0.09901008
600,NA,2,8,10,8.7,29.63,2.721417069,0.09901008
testing,NA,2,8,10,8.7,29.63,2.721417069,0.09901008
quality education,education,2,8,10,8.7,29.63,2.721417069,0.09901008
keeps,NA,2,8,10,8.7,29.63,2.721417069,0.09901008
plant,NA,2,8,10,8.7,29.63,2.721417069,0.09901008
customers,NA,2,8,10,8.7,29.63,2.721417069,0.09901008
people working,NA,2,8,10,8.7,29.63,2.721417069,0.09901008
percent increase,NA,2,8,10,8.7,29.63,2.721417069,0.09901008
dedication,NA,2,8,10,8.7,29.63,2.721417069,0.09901008
foster care,education,2,8,10,8.7,29.63,2.721417069,0.09901008
today state,NA,6,2,8,26.09,7.41,2.708534622,0.09981264
let start,NA,6,2,8,26.09,7.41,2.708534622,0.09981264
thank service,NA,6,2,8,26.09,7.41,2.708534622,0.09981264
affordable health,NA,6,2,8,26.09,7.41,2.708534622,0.09981264
access health care,health care,6,2,8,26.09,7.41,2.708534622,0.09981264
congressional delegation,NA,6,2,8,26.09,7.41,2.708534622,0.09981264
good job,economy/fiscal issues,6,2,8,26.09,7.41,2.708534622,0.09981264
wants,NA,10,5,15,43.48,18.52,2.579173376,0.108278194
small business,economy/fiscal issues,10,5,15,43.48,18.52,2.579173376,0.108278194
food,NA,10,5,15,43.48,18.52,2.579173376,0.108278194
age,NA,10,5,15,43.48,18.52,2.579173376,0.108278194
farmers,NA,10,5,15,43.48,18.52,2.579173376,0.108278194
remains,NA,6,15,21,26.09,55.56,2.567977916,0.109047041
key,NA,6,15,21,26.09,55.56,2.567977916,0.109047041
god,NA,13,26,39,56.52,96.3,2.519055287,0.112477951
approved,NA,5,13,18,21.74,48.15,2.406154947,0.120858897
educational,education,5,13,18,21.74,48.15,2.406154947,0.120858897
red,NA,5,13,18,21.74,48.15,2.406154947,0.120858897
bless great,NA,5,13,18,21.74,48.15,2.406154947,0.120858897
despite,NA,11,6,17,47.83,22.22,2.394714408,0.121745982
let work,NA,11,6,17,47.83,22.22,2.394714408,0.121745982
easier,NA,11,6,17,47.83,22.22,2.394714408,0.121745982
stop,NA,18,12,30,78.26,44.44,2.367149758,0.123913109
finally,NA,18,12,30,78.26,44.44,2.367149758,0.123913109
skills,NA,10,21,31,43.48,77.78,2.356708742,0.12474513
set,NA,10,21,31,43.48,77.78,2.356708742,0.12474513
state want,NA,4,1,5,17.39,3.7,2.32689211,0.127155523
start business,NA,4,1,5,17.39,3.7,2.32689211,0.127155523
unemployment rate lowest,economy/fiscal issues,4,1,5,17.39,3.7,2.32689211,0.127155523
family leave,NA,4,1,5,17.39,3.7,2.32689211,0.127155523
expanded medicaid,health care,4,1,5,17.39,3.7,2.32689211,0.127155523
support need,NA,4,1,5,17.39,3.7,2.32689211,0.127155523
state great,NA,4,1,5,17.39,3.7,2.32689211,0.127155523
help state,NA,4,1,5,17.39,3.7,2.32689211,0.127155523
facing state,NA,4,1,5,17.39,3.7,2.32689211,0.127155523
air water,energy/environment,4,1,5,17.39,3.7,2.32689211,0.127155523
today stand,NA,4,1,5,17.39,3.7,2.32689211,0.127155523
equal rights,NA,4,1,5,17.39,3.7,2.32689211,0.127155523
education health,NA,4,1,5,17.39,3.7,2.32689211,0.127155523
eager work,NA,4,1,5,17.39,3.7,2.32689211,0.127155523
work day,NA,4,1,5,17.39,3.7,2.32689211,0.127155523
decades ago,NA,4,1,5,17.39,3.7,2.32689211,0.127155523
state funding,economy/fiscal issues,4,1,5,17.39,3.7,2.32689211,0.127155523
need continue,NA,4,1,5,17.39,3.7,2.32689211,0.127155523
progress past,NA,4,1,5,17.39,3.7,2.32689211,0.127155523
rapidly changing,NA,4,1,5,17.39,3.7,2.32689211,0.127155523
need invest,NA,4,1,5,17.39,3.7,2.32689211,0.127155523
partisan issue,NA,4,1,5,17.39,3.7,2.32689211,0.127155523
paid family leave,NA,4,1,5,17.39,3.7,2.32689211,0.127155523
place people,NA,4,1,5,17.39,3.7,2.32689211,0.127155523
public lands,energy/environment,4,1,5,17.39,3.7,2.32689211,0.127155523
year degree,education,4,1,5,17.39,3.7,2.32689211,0.127155523
training programs,education,4,1,5,17.39,3.7,2.32689211,0.127155523
children future,education,4,1,5,17.39,3.7,2.32689211,0.127155523
skilled workforce,NA,4,1,5,17.39,3.7,2.32689211,0.127155523
signed executive,NA,4,1,5,17.39,3.7,2.32689211,0.127155523
administration work,NA,4,1,5,17.39,3.7,2.32689211,0.127155523
make decisions,NA,4,1,5,17.39,3.7,2.32689211,0.127155523
make easier,NA,4,1,5,17.39,3.7,2.32689211,0.127155523
rural communities,NA,7,3,10,30.43,11.11,2.31884058,0.127815263
southern,NA,7,3,10,30.43,11.11,2.31884058,0.127815263
disagree,NA,7,3,10,30.43,11.11,2.31884058,0.127815263
democratic,NA,7,3,10,30.43,11.11,2.31884058,0.127815263
need help,NA,7,3,10,30.43,11.11,2.31884058,0.127815263
achievement,NA,7,3,10,30.43,11.11,2.31884058,0.127815263
employee,economy/fiscal issues,7,3,10,30.43,11.11,2.31884058,0.127815263
pockets,NA,7,3,10,30.43,11.11,2.31884058,0.127815263
strongly,NA,7,3,10,30.43,11.11,2.31884058,0.127815263
meeting,NA,7,3,10,30.43,11.11,2.31884058,0.127815263
childhood education,education,7,3,10,30.43,11.11,2.31884058,0.127815263
union,NA,7,3,10,30.43,11.11,2.31884058,0.127815263
early childhood education,education,7,3,10,30.43,11.11,2.31884058,0.127815263
discussion,NA,7,3,10,30.43,11.11,2.31884058,0.127815263
rail,NA,7,3,10,30.43,11.11,2.31884058,0.127815263
agreement,NA,7,3,10,30.43,11.11,2.31884058,0.127815263
foster,NA,4,11,15,17.39,40.74,2.257112185,0.133001874
developing,NA,4,11,15,17.39,40.74,2.257112185,0.133001874
tape,NA,4,11,15,17.39,40.74,2.257112185,0.133001874
retain,NA,4,11,15,17.39,40.74,2.257112185,0.133001874
continues,NA,4,11,15,17.39,40.74,2.257112185,0.133001874
known,NA,4,11,15,17.39,40.74,2.257112185,0.133001874
wage,economy/fiscal issues,12,7,19,52.17,25.93,2.251801,0.133458996
violence,crime/justice,12,7,19,52.17,25.93,2.251801,0.133458996
housing,NA,12,7,19,52.17,25.93,2.251801,0.133458996
changes,NA,12,7,19,52.17,25.93,2.251801,0.133458996
prepare,NA,12,7,19,52.17,25.93,2.251801,0.133458996
end,NA,20,14,34,86.96,51.85,2.250828834,0.133542858
supporting,NA,13,8,21,56.52,29.63,2.138562994,0.143636383
longer,NA,13,8,21,56.52,29.63,2.138562994,0.143636383
starting,NA,13,8,21,56.52,29.63,2.138562994,0.143636383
benefits,NA,13,8,21,56.52,29.63,2.138562994,0.143636383
issues,NA,11,22,33,47.83,81.48,2.13150832,0.144298703
prices,NA,3,9,12,13.04,33.33,2.130434783,0.144399792
surplus,economy/fiscal issues,3,9,12,13.04,33.33,2.130434783,0.144399792
grand,NA,3,9,12,13.04,33.33,2.130434783,0.144399792
tremendous,NA,3,9,12,13.04,33.33,2.130434783,0.144399792
annual,NA,3,9,12,13.04,33.33,2.130434783,0.144399792
view,NA,3,9,12,13.04,33.33,2.130434783,0.144399792
correctional,crime/justice,3,9,12,13.04,33.33,2.130434783,0.144399792
bless,NA,13,25,38,56.52,92.59,2.126281888,0.144791599
federal state,NA,1,5,6,4.35,18.52,2.078368223,0.149399814
elected leaders,NA,1,5,6,4.35,18.52,2.078368223,0.149399814
department corrections,NA,1,5,6,4.35,18.52,2.078368223,0.149399814
american dream,NA,1,5,6,4.35,18.52,2.078368223,0.149399814
best brightest,education,1,5,6,4.35,18.52,2.078368223,0.149399814
people don,NA,1,5,6,4.35,18.52,2.078368223,0.149399814
people live,NA,1,5,6,4.35,18.52,2.078368223,0.149399814
budget provides,economy/fiscal issues,1,5,6,4.35,18.52,2.078368223,0.149399814
dignity work,economy/fiscal issues,1,5,6,4.35,18.52,2.078368223,0.149399814
job creators,economy/fiscal issues,1,5,6,4.35,18.52,2.078368223,0.149399814
people people,NA,1,5,6,4.35,18.52,2.078368223,0.149399814
governor office,NA,1,5,6,4.35,18.52,2.078368223,0.149399814
programs state,NA,1,5,6,4.35,18.52,2.078368223,0.149399814
years years,NA,1,5,6,4.35,18.52,2.078368223,0.149399814
join recognizing,NA,1,5,6,4.35,18.52,2.078368223,0.149399814
willingness serve,NA,1,5,6,4.35,18.52,2.078368223,0.149399814
let talk,NA,1,5,6,4.35,18.52,2.078368223,0.149399814
people work,NA,8,4,12,34.78,14.81,2.063338701,0.150879274
create jobs,economy/fiscal issues,8,4,12,34.78,14.81,2.063338701,0.150879274
aisle,NA,8,4,12,34.78,14.81,2.063338701,0.150879274
gun,crime/justice,8,4,12,34.78,14.81,2.063338701,0.150879274
dr,health care,8,4,12,34.78,14.81,2.063338701,0.150879274
preserve,NA,8,4,12,34.78,14.81,2.063338701,0.150879274
work make,NA,8,4,12,34.78,14.81,2.063338701,0.150879274
package,NA,8,4,12,34.78,14.81,2.063338701,0.150879274
attorney general,crime/justice,8,4,12,34.78,14.81,2.063338701,0.150879274
total,NA,6,14,20,26.09,51.85,2.061191626,0.151091975
brought,NA,6,14,20,26.09,51.85,2.061191626,0.151091975
50 million,NA,2,7,9,8.7,25.93,2.048488102,0.152357423
long time,NA,2,7,9,8.7,25.93,2.048488102,0.152357423
year ago,NA,2,7,9,8.7,25.93,2.048488102,0.152357423
time time,NA,2,7,9,8.7,25.93,2.048488102,0.152357423
growing economy,economy/fiscal issues,2,7,9,8.7,25.93,2.048488102,0.152357423
ve heard,NA,2,7,9,8.7,25.93,2.048488102,0.152357423
tax cut,economy/fiscal issues,2,7,9,8.7,25.93,2.048488102,0.152357423
young man,NA,2,7,9,8.7,25.93,2.048488102,0.152357423
healthy,health care,14,9,23,60.87,33.33,2.047258979,0.152480497
neighbors,NA,15,10,25,65.22,37.04,1.972624799,0.16016953
policy,NA,8,17,25,34.78,62.96,1.972624799,0.16016953
force,NA,8,17,25,34.78,62.96,1.972624799,0.16016953
result,NA,8,17,25,34.78,62.96,1.972624799,0.16016953
course,NA,10,20,30,43.48,74.07,1.937734836,0.163914693
doesn,NA,16,11,27,69.57,40.74,1.910956045,0.166857098
affordable housing,NA,9,5,14,39.13,18.52,1.884518058,0.169821528
smart,NA,9,5,14,39.13,18.52,1.884518058,0.169821528
prevent,NA,9,5,14,39.13,18.52,1.884518058,0.169821528
dreams,NA,9,5,14,39.13,18.52,1.884518058,0.169821528
knew,NA,9,5,14,39.13,18.52,1.884518058,0.169821528
epidemic,health care,9,5,14,39.13,18.52,1.884518058,0.169821528
rights,NA,9,5,14,39.13,18.52,1.884518058,0.169821528
self,NA,9,5,14,39.13,18.52,1.884518058,0.169821528
election,NA,9,5,14,39.13,18.52,1.884518058,0.169821528
simple,NA,5,12,17,21.74,44.44,1.883205456,0.169970274
proposed,NA,5,12,17,21.74,44.44,1.883205456,0.169970274
2018,NA,5,12,17,21.74,44.44,1.883205456,0.169970274
need work,NA,5,2,7,21.74,7.41,1.822176213,0.177054454
10 years,NA,5,2,7,21.74,7.41,1.822176213,0.177054454
national leader,NA,5,2,7,21.74,7.41,1.822176213,0.177054454
drinking water,energy/environment,5,2,7,21.74,7.41,1.822176213,0.177054454
strong economy,economy/fiscal issues,5,2,7,21.74,7.41,1.822176213,0.177054454
good paying jobs,economy/fiscal issues,5,2,7,21.74,7.41,1.822176213,0.177054454
affordable health care,health care,5,2,7,21.74,7.41,1.822176213,0.177054454
secretary state,NA,5,2,7,21.74,7.41,1.822176213,0.177054454
end day,NA,5,2,7,21.74,7.41,1.822176213,0.177054454
thousands,NA,18,13,31,78.26,48.15,1.816477066,0.177733194
makes,NA,18,13,31,78.26,48.15,1.816477066,0.177733194
taxpayers,economy/fiscal issues,7,15,22,30.43,55.56,1.781291173,0.181990858
savings,economy/fiscal issues,7,15,22,30.43,55.56,1.781291173,0.181990858
report,NA,7,15,22,30.43,55.56,1.781291173,0.181990858
fully,NA,7,15,22,30.43,55.56,1.781291173,0.181990858
moved,NA,10,6,16,43.48,22.22,1.753623188,0.185421895
republican,NA,10,6,16,43.48,22.22,1.753623188,0.185421895
woman,NA,10,6,16,43.48,22.22,1.753623188,0.185421895
table,NA,10,6,16,43.48,22.22,1.753623188,0.185421895
new jobs,economy/fiscal issues,10,6,16,43.48,22.22,1.753623188,0.185421895
hospital,health care,10,6,16,43.48,22.22,1.753623188,0.185421895
bipartisan,NA,10,6,16,43.48,22.22,1.753623188,0.185421895
partner,NA,10,6,16,43.48,22.22,1.753623188,0.185421895
folks,NA,10,6,16,43.48,22.22,1.753623188,0.185421895
follow,NA,10,6,16,43.48,22.22,1.753623188,0.185421895
act,NA,20,15,35,86.96,55.56,1.749482402,0.185941815
board,NA,9,18,27,39.13,66.67,1.743961353,0.186637679
citizens,NA,11,21,32,47.83,77.78,1.740942029,0.18701951
years ago,NA,11,21,32,47.83,77.78,1.740942029,0.18701951
child,NA,21,16,37,91.3,59.26,1.723506115,0.189242356
management,NA,4,10,14,17.39,37.04,1.711985277,0.190727993
bigger,NA,4,10,14,17.39,37.04,1.711985277,0.190727993
invested,NA,4,10,14,17.39,37.04,1.711985277,0.190727993
released,NA,4,10,14,17.39,37.04,1.711985277,0.190727993
red tape,NA,4,10,14,17.39,37.04,1.711985277,0.190727993
essential,NA,4,10,14,17.39,37.04,1.711985277,0.190727993
encourage,NA,4,10,14,17.39,37.04,1.711985277,0.190727993
effective,NA,4,10,14,17.39,37.04,1.711985277,0.190727993
teacher pay,education,4,10,14,17.39,37.04,1.711985277,0.190727993
graduates,education,4,10,14,17.39,37.04,1.711985277,0.190727993
say,NA,22,17,39,95.65,62.96,1.701515339,0.192089923
guests,NA,11,7,18,47.83,25.93,1.654678833,0.198323311
vote,NA,11,7,18,47.83,25.93,1.654678833,0.198323311
human,NA,6,13,19,26.09,48.15,1.590728028,0.20722215
problems,NA,6,13,19,26.09,48.15,1.590728028,0.20722215
city,NA,6,13,19,26.09,48.15,1.590728028,0.20722215
military,NA,6,13,19,26.09,48.15,1.590728028,0.20722215
financial,economy/fiscal issues,6,13,19,26.09,48.15,1.590728028,0.20722215
district,NA,6,13,19,26.09,48.15,1.590728028,0.20722215
prevention,NA,12,8,20,52.17,29.63,1.578099839,0.209034609
fix,NA,12,8,20,52.17,29.63,1.578099839,0.209034609
18,NA,12,8,20,52.17,29.63,1.578099839,0.209034609
continuing,NA,3,8,11,13.04,29.63,1.553066901,0.212683254
entering,NA,3,8,11,13.04,29.63,1.553066901,0.212683254
